epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.313,2.13321,3.65749,1.72307,0.31444,0.24626,0.21996,0.07406,2.20208,2.90579,1.88725,0.000450615,0.000450615,0.000450615
2,89.1415,2.07854,2.75877,1.67473,0.19914,0.43768,0.22204,0.0789,2.15091,2.62591,1.84224,0.000899142,0.000899142,0.000899142
3,130.95,2.04168,2.62271,1.64435,0.2625,0.38395,0.22514,0.07897,2.14061,2.48555,1.92426,0.000897001,0.000897001,0.000897001
4,172.425,1.98996,2.53222,1.64516,0.24992,0.4078,0.21918,0.07998,2.23718,2.55653,1.96019,0.000891002,0.000891002,0.000891002
5,213.806,1.9771,2.40556,1.63715,0.40786,0.40052,0.34618,0.12636,2.11625,2.59695,1.88222,0.000885002,0.000885002,0.000885002
6,255.67,1.96083,2.30107,1.61446,0.35571,0.47659,0.37922,0.14799,2.04341,2.2117,1.79049,0.000879003,0.000879003,0.000879003
7,297.363,1.93047,2.30577,1.58478,0.30888,0.46873,0.34625,0.13583,2.02557,2.41945,1.76818,0.000873004,0.000873004,0.000873004
8,338.618,1.928,2.20146,1.59082,0.45586,0.49175,0.46048,0.17624,2.07802,2.05444,1.82374,0.000867004,0.000867004,0.000867004
9,380.116,1.91491,2.16277,1.59258,0.45671,0.41725,0.39604,0.15456,2.0653,2.23341,1.76065,0.000861005,0.000861005,0.000861005
10,421.849,1.91531,2.17318,1.54982,0.49872,0.50903,0.48481,0.19214,2.03446,2.05588,1.76263,0.000855005,0.000855005,0.000855005
11,464.808,1.89449,2.1296,1.55679,0.57737,0.40163,0.47059,0.18709,2.00063,2.05753,1.72133,0.000849006,0.000849006,0.000849006
12,506.326,1.86835,2.02177,1.55493,0.48764,0.5287,0.5178,0.2139,1.955,1.89317,1.67509,0.000843007,0.000843007,0.000843007
13,547.781,1.89503,2.05441,1.56531,0.4561,0.51487,0.49368,0.20035,2.0115,1.94627,1.77714,0.000837007,0.000837007,0.000837007
